professor_name,department_name,state_name,star_rating,edugood_rating,eduaproval
Kelly  Kadera,Political Science department,"Saheed Nagar, Bhubaneswar",2.5,15,NAY
Gordon  McNorton,Computer Science department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.2,12.6,NAY
Elizabeth  Allen,Writing department,"Satya Nagar, Bhubaneswar",2.4,4.8,NAY
Jim  Cantrell,Film department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.1,20.5,NAY
Brian  Mullinix,Anthropology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",1.7,6.8,NAY
Dennis  McAuliffe,Italian department,"BMC Bhawani Mall,Ground Floor,Inox Block, Saheed Nagar, Bhubaneswar",1.8,5.4,NAY
HENGAMEH  Hosseini,Languages department,"Satya Nagar, Bhubaneswar",3.5,28,NAY
"Fuller,",Mathematics department,"Barang Station, Barang, Bhubaneswar",5,15,NAY
Katherine  Jones,Geography department,"Satya Nagar, Bhubaneswar",3.4,44.2,NAY
Christina  Zahajko,Languages department,"Prakriti Tower,Patia, Bhubaneswar, ",3.4,20.4,NAY
Ying  Wang,Languages department,"barapita,odisha",4.9,58.8,NAY
Alan  Bell,Languages department,"Kusabhadra Campus, KIMS Rd, Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",2.6,10.4,NAY
Daniel  Vona,Criminal Justice department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.8,19.6,NAY
Robert  Panzarella,Criminal Justice department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.5,15,NAY
Denis  Janz,Religion department,"Station Rd, Master Canteen Area, Kharvela Nagar, Bhubaneswar",4.3,43,NAY
Stuart  Lynn,Economics department,"barapita,odisha",3.6,7.2,NAY
Bob  Nelson,Business department,"J-Nandankanan Rd, Near Police Station, Barang, Bhubaneswar, Jayadev Vihar Rd, Jayadev Vihar, Bhubaneswar",3.3,42.9,NAY
Steven  Schlossman,History department,"Satya Nagar, Bhubaneswar",4.9,44.1,NAY
Thompson- Brieg,Languages department,"Barang Station, Barang, BhubaneswarSaheed Nagar, Bhubaneswar, Nandankanan Rd, Harappa Block, Raghunathpur, Bhubaneswar",2.9,26.1,NAY
Albert  Pyzik,Chemistry department,"Forest Park, Bhubaneswar",2.1,23.1,NAY
Ken  Moynihan,History department,"barapita,odisha",3.7,11.1,NAY
Ellen  Knapp,Mathematics department,"Satya Nagar, Bhubaneswar",3,30,NAY
Darel  Swenson,Law department,"Lazystay Grand,Biggies Berger Building, KIIT Rd, near Axis Bank, Patia, Bhubaneswar",3,39,NAY
John  Weigand,Music department,"Unit No.42 Plot, No. 324, Prachi Enclave Rd, Rail Vihar, Chandrasekharpur, Bhubaneswar",4.2,58.8,NAY
Arthur  Tyson,Biology department,"Ashok Nagar, Bhubaneswar",3,30,NAY
David  Duhon,Management department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",4.4,52.8,NAY
Ray  Bowling,Criminal Justice department,"Barang Station, Barang, Bhubaneswar",4.7,14.1,NAY
Ken  Milner,Education department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",2.9,26.1,NAY
John  Nelson,Biology department,"plot no, barapita,odishaChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Sainik School Rd, Unit Lingaraj Nagar, Old Town, Bhubaneswar, Gajapati Nagar, Bhubaneswar,",3.9,54.6,NAY
Paulette  Swartzfager,English department,"Station Rd, Master Canteen Area, Kharvela Nagar, Bhubaneswar",4.7,9.4,NAY
Marybeth  Redmond,Journalism department,"Plot No Gandamunda, Pokhariput, BhubaneswarKharvela Nagar, Bhubaneswar,Rudrapur, Bhubaneswar",3.8,30.4,NAY
Douglas  Johansen,Marketing department,"Kharvela Nagar, Bhubaneswar",3,30,NAY
Patricia  Cassin,Biology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.8,11.2,NAY
Margo  Regan,Fine Arts department,"plot no, barapita,odishaChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Sainik School Rd, Unit Lingaraj Nagar, Old Town, Bhubaneswar, Gajapati Nagar, Bhubaneswar,",3.4,10.2,NAY
Harry  Meshaw,Business department,"Kharvela Nagar, Bhubaneswar",3.6,50.4,NAY
Dean  Karras,Physical Ed department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4,36,NAY
Arthur  Rowe,Music department,"JSS Software Tech Park, B Block, Chandaka Industrial Estate, Infocity, Chandrasekharpur, Bhubaneswar",3.7,29.6,NAY
Robert  Ware,Business department,"Bindu Sagar, Old Town, Bhubaneswar",1.5,3,NAY
Anne  Wall,Education department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.4,44,NAY
Monica  Rodriguez,Psychology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.9,20.3,NAY
Frank  Thomas,Education department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",4.4,17.6,NAY
Simon  Koumjian,Architecture department,"Satya Nagar, Bhubaneswar",2.7,13.5,NAY
Ellie  Ragland,English department,"BMC Bhawani Mall, Maharishi College Rd, Saheed Nagar, Bhubaneswar",2.5,20,NAY
Vincent  Ferraro,Political Science department,"barapita,odisha",4.5,22.5,NAY
Christa  Downer,English department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.9,34.3,NAY
Tina  Laplaca,Graphic Arts department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.7,37.6,NAY
Laura  Shrum,Biology department,"Lingaraj Nagar, Old Town, Bhubaneswar",4,16,NAY
Edith  Hays,Mathematics department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.3,23.1,NAY
Cynthia  Maguire,Chemistry & Biochemistry department,"Airport Rd, Aerodrome Area, Bhubaneswar",3,18,NAY
Julia  Scott,Accounting department,baramunda,3.9,46.8,NAY
Alan  Cavaiola,Psychology department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.3,55.9,NAY
Chris  Husbands,Biology department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.2,46.2,NAY
Desmond  Harding,English department,"Bindu Sagar, Old Town, Bhubaneswar",4.2,25.2,NAY
Ed  Giardina,Graphic Arts department,"Barang Station, Barang, Bhubaneswar",4.5,31.5,NAY
Jim  Slowiak,Theater department,"Forest Park, Bhubaneswar",3.2,41.6,NAY
Lynn  Mattie,Culinary Arts department,"Airport Rd, Aerodrome Area, Bhubaneswar",3,30,NAY
Therese  Lueck,Communication department,"Forest Park, Bhubaneswar",2.7,24.3,NAY
Annie  Gilson,English department,"Bindu Sagar, Old Town, Bhubaneswar",4.7,37.6,NAY
Alexander  McClung,Sociology department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",4.8,14.4,NAY
Marilyn  Rose,English department,"Gandamunda, Pokhariput, Bhubaneswar",3.7,37,NAY
Kay  Bishop,Library Science department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",1.9,17.1,NAY
James  Allard,English department,"Gandamunda, Pokhariput, Bhubaneswar",4.3,21.5,NAY
Angela  Mills,English department,"Gandamunda, Pokhariput, Bhubaneswar",4.8,14.4,NAY
Frank  Mitchell,Psychology department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",4.3,17.2,NAY
Erik  Carver,Architecture department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",3.3,9.9,NAY
Anne  MacDonald,Culinary Arts department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.9,58.8,NAY
Michael  Kwag,Accounting department,"barapita,odisha",3.2,41.6,NAY
Bro. Joe  Burke,Psychology department,"Satya Nagar, Bhubaneswar",4.8,57.6,NAY
Roger  Holguin,Finance department,"Barang Station, Barang, Bhubaneswar",3.9,46.8,NAY
Jessie  Yearwood,Hospitality department,"Airport Rd, Aerodrome Area, Bhubaneswar",3,42,NAY
Karen  Cardozo-Kane,English department,"barapita,odisha",2.5,30,NAY
Dan  Lair,Communication department,"Chandrasekharpur, Bhubaneswar",3.4,27.2,NAY
Beth  Fratkin,Communication department,"Chandrasekharpur, Bhubaneswar",4,32,NAY
Baron  Stewart,Mathematics department,"Barang Station, Barang, Bhubaneswar",4.5,0,NAY
Erin  Finn,Communication department,"Satya Nagar, Bhubaneswar",3.8,49.4,NAY
Jim  Uyekawa,Fine Arts department,"Barang Station, Barang, Bhubaneswar",4.1,24.6,NAY
John  Enomoto,Computer Science department,"Barang Station, Barang, Bhubaneswar",3.6,14.4,NAY
Xiaoping  Teng,Languages department,"barapita,odisha",4.3,64.5,NAY
Alison  Hodges,Culinary Arts department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.6,9.2,NAY
Rick  Bradbury,Medicine department,"Kusabhadra Campus, KIMS Rd, Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",4.6,32.2,NAY
Bill  Hodges,Culinary Arts department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.1,49.2,NAY
Chris  Miller,Culinary Arts department,"Airport Rd, Aerodrome Area, Bhubaneswar",4.9,58.8,NAY
Larry  Goff,Psychology department,"Airport Rd, Aerodrome Area, Bhubaneswar",3,9,NAY
Paul  Velleman,Social Science department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.5,12.5,NAY
Lawrence  Kahn,Economics department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.3,25.3,NAY
Gene  Pouncy,English department,"Airport Rd, Aerodrome Area, Bhubaneswar",2.9,23.2,NAY
Jerry  Jones,Music department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.6,39.6,NAY
John  Corvino,Philosophy department,"Bindu Sagar, Old Town, Bhubaneswar",4.5,36,NAY
Rebecca  Laidlaw,Communication department,"Barang Station, Barang, Bhubaneswar",3.3,23.1,NAY
Eugene A.  Berg,Chemistry department,"BMC Bhawani Mall St, Saheed Nagar, Bhubaneswar",4.2,46.2,NAY
Daniel  Knudsen,Geography department,"Khandagiri, Bhubaneswar",3.5,45.5,NAY
R.  Talavera,Mathematics department,"Barang Station, Barang, Bhubaneswar",2.1,6.3,NAY
Fred  Ream,Mathematics department,"RBI Colony, Nayapalli, Bhubaneswar",2.8,5.6,NAY
Ewa  Duma,Mathematics department,baramunda,4.1,20.5,NAY
Olga  Piedrahita,Agriculture department,"Gandamunda, Pokhariput, Bhubaneswar",4.8,48,NAY
Wayne  Grossman,Management department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.3,16.5,NAY
Sheryl  Gifford,English department,"Kharvela Nagar, Bhubaneswar",3.8,15.2,NAY
William  Brooks,Biology department,"Kharvela Nagar, Bhubaneswar",3.5,3.5,NAY
Gamble,Literature department,"Satya Nagar, Bhubaneswar",4.7,14.1,NAY
Meghan  Murphy-Lee,Humanities department,"Bidyut Marg, Nuasahi, Nayapalli, Bhubaneswar",3.8,41.8,NAY
Jan  Tarski,Mathematics department,"Barang Station, Barang, Bhubaneswar",2.2,13.2,NAY
Seth  Ovadia,Sociology department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",4,12,NAY
Mark  Sirkin,Political Science department,"Forest Park, Bhubaneswar",2.4,9.6,NAY
Annis  Golden,Communication department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.7,25.9,NAY
Liz  Stanley,Music department,"Barang Station, Barang, Bhubaneswar",4.5,9,NAY
David  Breiner,Architecture department,"Satya Nagar, Bhubaneswar",4.8,24,NAY
Michael  Milburn,Psychology department,"barapita,odisha",3.2,38.4,NAY
Steven  Schneider,English department,"Airport Rd, Aerodrome Area, Bhubaneswar",3.5,49,NAY
Anton  Armstrong,Music department,"Lazystay Grand,Biggies Berger Building, KIIT Rd, near Axis Bank, Patia, Bhubaneswar",3.9,42.9,NAY
Sherry  Rising,Languages department,"Bindu Sagar, Old Town, Bhubaneswar",4.8,67.2,NAY
Yasmin  Villvendas,Languages department,"Satya Nagar, Bhubaneswar",4.5,54,NAY
Tersh  Palmer,English department,"Plot No Gandamunda, Pokhariput, BhubaneswarKharvela Nagar, Bhubaneswar,Rudrapur, Bhubaneswar",2.1,14.7,NAY
Carol  Topping,Psychology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",5,10,NAY
Roberto  Calderon,History department,"Airport Rd, Aerodrome Area, Bhubaneswar",2.6,39,NAY
Bob  Betts,Humanities department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",3.7,11.1,NAY
Denine  Dumschat,English department,"Satya Nagar, Bhubaneswar",3.9,11.7,NAY
Joe  Reilly,Music department,"Satya Nagar, Bhubaneswar",3,9,NAY
Tanya  Cassidy,Sociology department,"Gandamunda, Pokhariput, Bhubaneswar",4.2,37.8,NAY
Valerie  Martin,Mathematics department,"Satya Nagar, Bhubaneswar",4.6,36.8,NAY
Mark  Damen,History department,"Chandrasekharpur, Bhubaneswar",4.6,41.4,NAY
Dr.  Shingle,Biology department,"Satya Nagar, Bhubaneswar",4,48,NAY
Thomas  Rooney,Education department,"Satya Nagar, Bhubaneswar",4,12,NAY
Lilli  Downes,Sociology department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",3.7,14.8,NAY
Robert  Karpinski,Theology department,"Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar",4.8,28.8,NAY
B  Trentham,Accounting department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,28.8,NAY
B  Hester,Accounting department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.7,7.4,NAY
Vignault  Luc,Philosophy department,"Khata No Plot No Gandamunda, Pokhariput, BhubaneswarKharvela Nagar, Bhubaneswar,Rudrapur, BhubaneswarSaheed Nagar, Bhubaneswar, Unit Jaydev Vihar, Nandankanan Rd, BhubaneswarChandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Master Canteen Area, Kharvela Nagar",4.1,16.4,NAY
G  Cutler,Accounting department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.5,27,NAY
Raymond  Ercoli,Design department,"Satya Nagar, Bhubaneswar",4.3,17.2,NAY
D  Estes,Accounting department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.8,14,NAY
Odette  Bruneau,Education department,"Saheed Nagar, Bhubaneswar",4.4,48.4,NAY
Dennis  Dipert,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.4,27.2,NAY
John  Janicek,Accounting department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",5,0,NAY
Chantal  Maille,Women\'s Studies department,baramunda,2.8,33.6,NAY
C  Jackson,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",1.2,0,NAY
J  Allen,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.6,50.6,NAY
M  Blevins,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4,0,NAY
H  Henson,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,24,NAY
Casim  Abbas,Mathematics department,"Bindu Sagar, Old Town, Bhubaneswar",4,56,NAY
Ronald  Coleman,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.2,37.8,NAY
J  Harrison,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",1,0,NAY
P  Bode,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.7,4.7,NAY
Susan  Mulcahy,Fine Arts department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.5,38.5,NAY
C  Hampton,Fine Arts department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.2,19.2,NAY
Anthony  Roda,Philosophy department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",2.2,13.2,NAY
McVey,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.5,21,NAY
J  Harville,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.5,36,NAY
H  Lawson,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.1,21.7,NAY
C  Conrad,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.3,18.4,NAY
Kathy  Johnson,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.5,45,NAY
Rita  Sowell,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.4,40.8,NAY
Bruce  Arrigo,Criminal Justice department,"Lingaraj Nagar, Old Town, Bhubaneswar",4,44,NAY
W  Hagewood,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.6,4.6,NAY
S  Fenton,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.7,37,NAY
M  Morrison,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,4.8,NAY
Muldrow  Kyle,Computer Science department,"Barang Station, Barang, Bhubaneswar",4.9,49,NAY
K  Jones,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.6,14.4,NAY
Sidney E.  Hardyway,Psychology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.9,19.5,NAY
P  Lawson,Psychology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.7,8.1,NAY
Charisse  Coston,Criminal Justice department,"Lingaraj Nagar, Old Town, Bhubaneswar",3.9,11.7,NAY
F  Goosetree,Psychology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",5,20,NAY
P  Hinkle,Psychology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,9.6,NAY
Vanessa  Mitchell,Psychology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.4,61.6,NAY
J  Burton,Psychology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,14.4,NAY
R  Dauer,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.5,9,NAY
Kathleen  Cummins,Communication department,"Gandamunda, Pokhariput, Bhubaneswar",4.1,36.9,NAY
Martha  Malaty,Computer Science department,"Barang Station, Barang, Bhubaneswar",1.9,7.6,NAY
Ramin  Zabih,Computer Science department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3.5,45.5,NAY
Bonnie  Bedford,Fine Arts department,"Satya Nagar, Bhubaneswar",3.9,7.8,NAY
David  Martin,Computer Science department,"Satya Nagar, Bhubaneswar",3.3,42.9,NAY
Nicolas  Robidoux,Mathematics department,"Gandamunda, Pokhariput, Bhubaneswar",3.1,31,NAY
Randall  Warwick,Biology department,"Barang Station, Barang, Bhubaneswar",4,8,NAY
Jessica  Wyman,Art History department,"Gandamunda, Pokhariput, Bhubaneswar",3.7,55.5,NAY
Roy  Nutter,Electrical Engineering department,"Unit No.42 Plot, No. 324, Prachi Enclave Rd, Rail Vihar, Chandrasekharpur, Bhubaneswar",3.2,48,NAY
Jay  Dull,Physical Ed department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",5,10,NAY
Jeff  Kurtz,Communication department,"Forest Park, Bhubaneswar",4,52,NAY
Tim  Gongaware,Sociology department,"Nalco Bhavan, P/Chandaka Industrial Estate, K I I T University, Patia, Bhubaneswar, Nayapalli, Bhubaneswar",4,24,NAY
Theodore  Evergates,History department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",4.1,45.1,NAY
Mitchell  Snay,History department,"Forest Park, Bhubaneswar",4.7,65.8,NAY
Raymond  Wise,Music department,"Forest Park, Bhubaneswar",5,25,NAY
Julia  Jasken,English department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",4.5,40.5,NAY
Elizabeth  Van Den Berg,Theater department,"Acharya Vihar, Doordarshan Colony, Gajapati Nagar, Bhubaneswar",3.7,51.8,NAY
Wendy  Walters,English department,"kiit koel campus, Patia, Bhubaneswar",3.8,19,NAY
Deb  Coolidge,Fine Arts department,"kiit koel campus, Patia, Bhubaneswar",2.5,30,NAY
Pamela  Jackson,Psychology department,"Infocity Ave, P.S.- New Capital, Patia, Bhubaneswar",2.5,32.5,NAY
Michael  McGee,Psychology department,"Infocity Ave, P.S.- New Capital, Patia, Bhubaneswar",3.9,19.5,NAY
Tony  Caporale,Economics department,"Forest Park, Bhubaneswar",3,9,NAY
Peter  Pezzolo,Philosophy department,"Cuttack Rd, Rasulgarh Industrial Estate, Industrial Area Estate, Rasulgarh, Bhubaneswar",3.5,21,NAY
Bob  Filson,Science department,"Prakriti Tower,Patia, Bhubaneswar, ",4.5,40.5,NAY
Joyce  Hammer,Mathematics department,"Prakriti Tower,Patia, Bhubaneswar, ",4,12,NAY
Bob  Teti,Mathematics department,"Satya Nagar, Bhubaneswar",4.7,23.5,NAY
Shelia  Most,Literature department,"Bindu Sagar, Old Town, Bhubaneswar",3.5,24.5,NAY
Pam  Pruett,English department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.7,56.4,NAY
Duane  Stock,Finance department,"Maitre Vihar Rd, Maitri Vihar, NALCO Nagar, Chandrasekharpur, Bhubaneswar",2.8,36.4,NAY
Rachel  Edelson,English department,"Barang Station, Barang, Bhubaneswar",4.2,8.4,NAY
T  Farris,Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.9,35.1,NAY
Prakash  Panangaden,Computer Science department,baramunda,3.8,15.2,NAY
R  McCoy,Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.5,45.5,NAY
C  Beals,Biology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.3,43,NAY
L  Schibig,Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.6,15.6,NAY
R  Skoglund,Biology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.2,21,NAY
E  Alford,Health Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4,0,NAY
Frederick  Frank,Biology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.1,20.5,NAY
N  Morris,Biology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.8,14,NAY
H  Mann,Biology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,28.8,NAY
R  Hackney,Biology department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.7,29.6,NAY
Duane  Castanier,Education department,"Bindu Sagar, Old Town, Bhubaneswar",4.4,35.2,NAY
L  Stephens,Business department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.7,32.4,NAY
T.  Moore,Business department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.6,21.6,NAY
A  Ruttenbur,Not Specified department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.4,13.6,NAY
J  Espey,Marketing department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.3,42.9,NAY
B  Bratcher,English department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.4,20.4,NAY
M  Nunaley,Not Specified department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.5,9,NAY
Parris  Powers,Chemistry department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.2,42,NAY
J  Neilan,Chemistry department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3,21,NAY
Kelvin  Jasek-Rysdahl,Economics department,"Barang Station, Barang, Bhubaneswar",4.5,31.5,NAY
Jim  Curtis,Sociology department,"Gandamunda, Pokhariput, Bhubaneswar",4.5,13.5,NAY
D  Witt,Chemistry department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.5,0,NAY
V  Hunter,Science department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.6,28.6,NAY
B  Jobe Jr.,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.2,35.2,NAY
J  Gains,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,19.2,NAY
J  English,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",5,0,NAY
L  Assante,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.1,49.2,NAY
J  Scarbrough,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3,18,NAY
D  Warner,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.4,35.2,NAY
S  Sparkman,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.3,30.1,NAY
H  Espravnik,Communication department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.5,38.5,NAY
D  Larsen,Theater department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.4,7.2,NAY
William  Skidmore,Music department,"Unit No.42 Plot, No. 324, Prachi Enclave Rd, Rail Vihar, Chandrasekharpur, Bhubaneswar",4.7,9.4,NAY
T  Cardona,Not Specified department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.5,0,NAY
S  Hargrove,Not Specified department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.8,28.8,NAY
J  Jenkins,English department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",1.4,1.4,NAY
B  Blankenship,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.5,14,NAY
E  Lester,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3,27,NAY
Wayne  Hawthorn,Biology department,"Gandamunda, Pokhariput, Bhubaneswar",4.5,22.5,NAY
D  Long,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.6,13.8,NAY
S  Seats Jr,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.2,25.2,NAY
K  McFadden,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",5,10,NAY
Vicente  Lombrana,Biology department,"RBI Colony, Nayapalli, Bhubaneswar",4.8,52.8,NAY
J  Lowe,Engineering department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",2.1,4.2,NAY
Todd  McDonald,Mathematics department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.9,34.3,NAY
Kathy  Butler,Humanities department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",5,0,NAY
K  McLean,Languages department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3,15,NAY
Nancy  Edwards,Education department,"J-Nandankanan Rd, Near Police Station, Barang, Bhubaneswar, Jayadev Vihar Rd, Jayadev Vihar, Bhubaneswar",3.5,21,NAY
A  Osaitile,Education department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",3.7,22.2,NAY
C  Malden,Not Specified department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",4.2,46.2,NAY
Roberta  Reynolds,English department,"Barang Station, Barang, Bhubaneswar",2.8,22.4,NAY
Judy  Navas,Fine Arts department,"Barang Station, Barang, Bhubaneswar",2.2,17.6,NAY
B  Dennis,English department,"Nandankanan Rd, Near Police Station, Barang, Bhubaneswar",5,10,NAY
Bohdan  Oppenheim,Engineering department,"Barang Station, Barang, Bhubaneswar",3.8,15.2,NAY
Mei-ling  Wang,Communication department,"Satya Nagar, Bhubaneswar",4.2,33.6,NAY
Ilya  Vinitskiy,International Studies department,"Satya Nagar, Bhubaneswar",5,10,NAY
Lawrence  Orihuela,Education department,"Kharvela Nagar, Bhubaneswar",4.8,14.4,NAY
Darwin  Davis,English department,"Jaydev Vihar, Nandankanan Rd, Bhubaneswar",3,12,NAY
